CITZ_NATION,STUDENT_COUNT,LATITUDE,LONGITUDE
Afghanistan,2,34.5,69.1
Chile,2,-33.4,-70.6
China,605,35,103
Colombia,11,4.5,-74.06
Costa Rica,10,9.9,-84
Croatia,1,45.8,16
Cyprus,1,35,33
Denmark,1,55.72,12.57
Dominican Republic,2,19,-70.6
Ecuador,3,-0.15,-78.35
Egypt,2,26,30
El Salvador,8,13.6,-89.1
Ethiopia,1,9,38.7
France,3,47,2
Germany,12,52.5,13.3
Ghana,4,5.5,-0.2
Greece,3,39,22
Haiti,1,18.5,-72.3
Honduras,2,14.1,-87.2
Hong Kong,1,22.2,114.1
India,616,21,78
Iraq,15,33.3,44.4
Israel,2,31,35
Italy,2,41.9,12.4
Jamaica,4,18.1,-77.32
Japan,4,35.6,139.7
Jordan,13,31.9,35.9
Kazakhstan,1,48,68
Kenya,8,-1.2,36.8
"Korea, Republic of",21,37.5,126.9
Kosovo,2,42.6,20.8
Kuwait,2,29.3,47.9
Lebanon,1,33.9,35.5
Libya,16,27,17
Malaysia,1,3.1,101.7
Mexico,9,19,-99.1
Moldova,1,47,28.9
Myanmar (Burma),1,22,96
Nepal,18,26.5,86.7
Nicaragua,1,13,-85
Nigeria,5,8,10
Norway,1,61,8
Oman,1,23.6,58.5
Pakistan,4,33.6,73.1
Panama,1,8.9,-79.53
Philippines,2,13,122
Poland,1,52.2,21
Portugal,1,38.7,-9.18
Romania,1,44.4,26.1
Russia,13,60,90
Rwanda,2,-1.94,29.87
Saint Lucia,3,14,-60.9
Saudi Arabia,19,24,45
Serbia (Prior To 2001),1,44.8,20.4
Spain,1,40.4,-3.7
Sri Lanka,16,7,81
Suriname,1,5.8,-55.1
Switzerland,1,46.8,8.3
Syrian Arab Republic,1,33.5,36.3
Taiwan,21,23.5,121
"Tanzania, United Republic of",4,-6.3,34.85
Thailand,15,13.7,100.4
Trinidad and Tobago,5,10.6,-61.5
Turkey,34,39.9,32.8
Uganda,4,1,31.8
Ukraine,5,49,32
United Kingdom,11,51.5,-0.1
Uzbekistan,1,41,69
Vietnam,9,21,105.8
Yeman (Sanaa),1,15.3,44.2
United States,3403,44.5,-100
